epochs	conv-num-filters	fully-connected-dim	max-pool-window-width	dropout-rate	validation-AUC-ROC
5	5	10	1	0.00	0.8635379076004028
5	5	10	1	0.25	0.8527908325195312
5	5	10	1	0.50	0.8441333770751953
5	5	10	1	0.75	0.8297938108444214
5	5	10	2	0.00	0.860990047454834
5	5	10	2	0.25	0.8560208082199097
5	5	10	2	0.50	0.8531990051269531
5	5	10	2	0.75	0.8366583585739136
5	5	10	4	0.00	0.8523417711257935
5	5	10	4	0.25	0.8401383757591248
5	5	10	4	0.50	0.813136100769043
5	5	10	4	0.75	0.8065090775489807
5	5	10	6	0.00	0.8191195726394653
5	5	10	6	0.25	0.7775457501411438
5	5	10	6	0.50	0.7650808095932007
5	5	10	6	0.75	0.6973267197608948
5	5	10	8	0.00	0.807975709438324
5	5	10	8	0.25	0.7151804566383362
5	5	10	8	0.50	0.6698150634765625
5	5	10	8	0.75	0.5348923206329346
5	5	10	10	0.00	0.7653696537017822
5	5	10	10	0.25	0.7030486464500427
5	5	10	10	0.50	0.6487041711807251
5	5	10	10	0.75	0.5324798822402954
5	5	10	12	0.00	0.7533367872238159
5	5	10	12	0.25	0.6673798561096191
5	5	10	12	0.50	0.5676347613334656
5	5	10	12	0.75	0.5560044050216675
5	5	10	14	0.00	0.6803426742553711
5	5	10	14	0.25	0.6256343722343445
5	5	10	14	0.50	0.6208946704864502
5	5	10	14	0.75	0.5679599046707153
5	5	10	16	0.00	0.6890944838523865
5	5	10	16	0.25	0.636298418045044
5	5	10	16	0.50	0.5842095613479614
5	5	10	16	0.75	0.5010755062103271
5	5	15	1	0.00	0.8686732053756714
5	5	15	1	0.25	0.8620485067367554
5	5	15	1	0.50	0.8425508737564087
5	5	15	1	0.75	0.8195868134498596
5	5	15	2	0.00	0.8762903809547424
5	5	15	2	0.25	0.8628750443458557
5	5	15	2	0.50	0.8504840731620789
5	5	15	2	0.75	0.8335034847259521
5	5	15	4	0.00	0.8566164970397949
5	5	15	4	0.25	0.8188580274581909
5	5	15	4	0.50	0.8095650672912598
5	5	15	4	0.75	0.7399282455444336
5	5	15	6	0.00	0.8293800354003906
5	5	15	6	0.25	0.8057349324226379
5	5	15	6	0.50	0.7551114559173584
5	5	15	6	0.75	0.7106238007545471
